TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
FeatureEnvyCheck,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6890057790793085,196,103
SwissKnifeCheck,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7696893749525328,129,87
